"Issue ID","Issue Category","PR","Issue Title","File Path","Line Number","Issue Suggestion","Commented Time"
"27","P2","#1053","torch_xpu_configure 将整个 site-packages 目录 symlink 进 Bazel repo","3rdparty/gpus/torch_xpu_configure.bzl","48","只 symlink torch/ 和 torch.libs/ 目录（BUILD.pytorch 实际引用的内容），或参考 CUDA new_local_repository 模式使用 path 直接指向 site-packages，配合白名单过滤。","2026-06-05T09:48:09Z"
"28","P2","#1053","torch_xpu_configure fallback 路径处理不一致，dummy BUILD 缺少 target 或引用不存在的 .so","3rdparty/gpus/torch_xpu_configure.bzl","20","统一两条 fallback 路径：生成最小 BUILD 仅含空的 cc_library stubs（torch、torch_api、torch_libs），不引用任何 .so 文件。这与 xpu_configure 的 _create_dummy_repository 模式一致。","2026-06-05T09:48:09Z"
"29","P3","#1053",".bazelrc 中 XPU config 抑制 15 个 warning 类别缺少分组说明",".bazelrc","213","添加注释分组：（1）icpx 编译器误报/不支持的 GCC 特有 warning；（2）第三方代码引起的 warning；（3）临时抑制待后续修复的 warning。尽量通过 per_file_copt 将部分（特别是 -Wno-array-bounds）限制在特定源文件。","2026-06-05T09:48:09Z"
"30","P3","#1053","flashinfer_deps/flashmla_deps 缺少 using_xpu select 分支","arch_config/arch_select.bzl","131","后续 PR 需确保 flashinfer_deps/flashmla_deps 在 using_xpu 条件下映射到 empty_target，与 cuda_register() 模式保持一致。若 internal 侧 arch_select.bzl 已覆写则无需额外操作。","2026-06-05T09:48:09Z"
"31","P3","#1053","xpu/BUILD.tpl 定义了未使用的 using_sycl config_setting","3rdparty/gpus/xpu/BUILD.tpl","4","删除未使用的 config_setting，或添加 TODO 注释说明后续 PR 中的使用计划。","2026-06-05T09:48:09Z"
"32","P0","#1053","pip_parse Python 解释器版本(3.10)与 lockfile 生成版本(3.12)及 .bazelrc PYTHON_BIN_PATH 三方不一致","deps/pip.bzl","74","将 pip_xpu_torch 的 python_interpreter 改为与 .bazelrc PYTHON_BIN_PATH 一致的 /opt/venv/bin/python3（Python 3.12），确保 pip_parse 解释器、lockfile 生成环境、运行时 PYTHON_BIN_PATH 三者使用同一 Python 版本。","2026-06-08T06:33:29Z"
"33","P1","#1053","numpy 缺少上界约束，lockfile 解析到 2.x 破坏 API 兼容","deps/requirements_xpu.txt","32","改为 numpy<2.0a0,>=1.25 与 requirements_base.txt 保持一致，并重新生成 lockfile。","2026-06-08T06:33:29Z"
"34","P1","#1053","sentence-transformers 版本漂移到 5.x，内部 API 不兼容","deps/requirements_xpu.txt","66","改为 sentence-transformers==2.7.0 与其他平台一致，并重新生成 lockfile。","2026-06-08T06:33:29Z"
"35","P1","#1053","_XPU_EXCLUDED_PACKAGES 遗漏大量 CUDA/ROCm 专属包，XPU select 分支将引用不存在的 pip target","arch_config/arch_select.bzl","11","在 _XPU_EXCLUDED_PACKAGES 中补充所有 CUDA/ROCm 专属包：apache-tvm-ffi、flashinfer-python、flashinfer-cubin、nvidia-cutlass-dsl、flashinfer-jit-cache、fast-hadamard-transform、flash-mla、tilelang、deep_gemm、deep_ep、rtp-kernel、flash_attn、flash-attn-3、aiter。","2026-06-08T06:33:29Z"
"36","P1","#1053","xpu_sycl_compile feature 未设置 enabled=True，SYCL 编译标志不会注入","3rdparty/gpus/crosstool/xpu_cc_toolchain_config.bzl.tpl","99","给 xpu_sycl_compile feature 添加 enabled=True，或在 .bazelrc xpu config 中添加 build:xpu --features=xpu_sycl_compile。编译和链接阶段必须同时传递 -fsycl。","2026-06-08T06:33:29Z"
"37","P2","#1053","PYTHON_BIN_PATH 在 .bazelrc 与 pip.bzl 中不一致",".bazelrc","228","统一 XPU 配置中的 Python 路径：pip.bzl 的 python_interpreter 和 .bazelrc 的 PYTHON_BIN_PATH 应指向同一环境。","2026-06-08T06:33:29Z"
"38","P2","#1053","缺少 XPU 平台 CI 或 smoke 测试覆盖","arch_config/arch_select.bzl","42","至少添加一个 XPU config 的 bazel build 验证（如 CI 中 `bazel build //:th_transformer --config=xpu`），或在 PR description 中明确后续 PR 测试计划。","2026-06-08T06:33:29Z"
"39","P2","#1053","Starlark 模板中 Tab 字符将导致 XPU 构建解析失败","3rdparty/gpus/crosstool/xpu_cc_toolchain_config.bzl.tpl","290","将第 290 行行首的 Tab 替换为空格，与上下文缩进对齐。","2026-06-08T06:33:29Z"
"40","P3","#1053","编译器 wrapper 中 '-x cu' 判断为不可达死代码","3rdparty/gpus/crosstool/clang/bin/crosstool_wrapper_driver_xpu.tpl","49","移除 'cu' 分支，或保留并加注释说明来源。","2026-06-08T06:33:29Z"
"41","P1","#1053","pip_parse Python 版本与 lockfile 生成版本不一致可能导致 wheel 兼容性问题","deps/pip.bzl","74","使用 Python 3.10 重新生成 lockfile（pip-compile --python=3.10），保持与 pip_parse 解释器一致；或将 python_interpreter 改为 XPU Docker 中的 Python 3.12 路径。注释已声明对齐要求但当前未满足。","2026-06-09T01:36:26Z"
"42","P2","#1053","_resolve_venv_python 函数在两个 .bzl 文件中完全重复","3rdparty/gpus/torch_xpu_configure.bzl","12","将 _resolve_venv_python 提取到共享 .bzl 文件（如 3rdparty/gpus/xpu_utils.bzl），两个 configure rule 通过 load() 引用。","2026-06-09T01:36:26Z"
"43","P2","#1053","全局 -Wno-error 完全禁用了 XPU 构建的 -Werror 安全网",".bazelrc","228","移除 blanket -Wno-error，依靠已有的 15 个针对性 -Wno-* 标志。若仍有未覆盖的警告，逐条添加 -Wno-error=<specific>。如确需 bring-up 阶段保留，添加 TODO 注释标记为临时措施。","2026-06-09T01:36:26Z"
"44","P2","#1053","缺少 test:xpu 的 LD_LIBRARY_PATH 和 PATH 配置",".bazelrc","237","在 build:xpu 段后添加 test:xpu --test_env LD_LIBRARY_PATH 和 test:xpu --test_env PATH，包含 oneAPI compiler lib 路径，参照 test:rocm 模式。","2026-06-09T01:36:26Z"
"45","P2","#1053","SYCL_TARGET 通过 action_env 设置但 repo rule 需要 repo_env 才能读取",".bazelrc","205","将 SYCL_TARGET 从 action_env 改为 repo_env：build:xpu --repo_env SYCL_TARGET=intel_gpu_pvc。repo_env 在 WORKSPACE 评估时对 repository_ctx.os.environ 可见。","2026-06-09T01:36:26Z"
"46","P2","#1053","torch_xpu_configure 非 XPU 降级路径使用 BUILD.pytorch 但缺少 .so 文件","3rdparty/gpus/torch_xpu_configure.bzl","49","非 XPU 降级路径应生成 stub BUILD 文件（仅声明空的 cc_library targets），而非 symlink 真实 BUILD.pytorch。参考 xpu_configure.bzl _create_dummy_repository 的模式。","2026-06-09T01:36:26Z"
"47","P2","#1053","xpu_link_flags_feature 全局启用 -fsycl 影响所有目标链接","3rdparty/gpus/crosstool/xpu_cc_toolchain_config.bzl.tpl","88","将 xpu_link_flags_feature 改为 enabled=False，仅在需要 SYCL 运行时的顶层目标上通过 features=[""xpu_link_flags""] 启用，与 xpu_sycl_compile_feature 的设计保持一致。","2026-06-09T01:36:26Z"
"48","P2","#1053","XPU configure 缺少必需库的 fail-fast 验证","3rdparty/gpus/xpu_configure.bzl","311","当 _enable_xpu() 为 True 时，若 libsycl.so 或 libze_loader.so 不存在，调用 auto_configure_fail() 给出明确提示，而非静默设为空列表。","2026-06-09T01:36:26Z"
"49","P3","#1053","crosstool wrapper 中 'cu' 扩展检查对 XPU 无意义","3rdparty/gpus/crosstool/clang/bin/crosstool_wrapper_driver_xpu.tpl","121","移除 'cu' 匹配项，或更新注释说明保留原因。","2026-06-09T01:36:26Z"
"50","P3","#1053","xpu_configure 生成的 site_packages.bzl 未被任何代码加载","3rdparty/gpus/xpu_configure.bzl","347","若 Part 2-4 不需要此变量，删除生成 site_packages.bzl 的代码以减少 YAGNI。若后续需要，确保 dummy repo 和异常路径也生成 stub 文件。","2026-06-09T01:36:26Z"
"51","P1","#1053","TF_NEED_XPU=1 但未找到 oneAPI 时静默回退为 dummy 仓库","3rdparty/gpus/xpu_configure.bzl","149","当 TF_NEED_XPU=1 但未找到有效 oneAPI 安装时，调用 auto_configure_fail() 而非返回 False。例: auto_configure_fail(""TF_NEED_XPU=1 but cannot find oneAPI. Set ONEAPI_ROOT or install to /opt/intel/oneapi."")","2026-06-09T04:24:16Z"
"52","P1","#1053","_resolve_venv_python 在两个文件中完全重复","3rdparty/gpus/torch_xpu_configure.bzl","12","将 _resolve_venv_python 提取到共享 .bzl 文件（如 3rdparty/gpus/xpu_python_utils.bzl），两个 configure rule 通过 load() 引用。to_list_of_strings / verify_build_defines 可参照 rocm_configure.bzl 的模式从 cuda_configure.bzl load 复用。","2026-06-09T04:24:16Z"
"53","P2","#1053","fastsafetensors 缺失于 _XPU_EXCLUDED_PACKAGES，XPU 构建可能解析失败","arch_config/arch_select.bzl","11","将 'fastsafetensors' 添加到 _XPU_EXCLUDED_PACKAGES 列表中（与 'fast-safetensors' 相邻）。","2026-06-09T04:24:16Z"
"54","P2","#1053","全局 -Wno-error 关闭所有编译器 warning-as-error",".bazelrc","228","移除全局 -Wno-error / --host_copt=""-Wno-error""，仅保留已有的 -Wno-xxx 抑制。若仍有编译失败，逐个添加针对性 -Wno-xxx。如果初始阶段确实需要全局 -Wno-error，请添加 TODO 注释标记在后续 PR 中收窄范围。","2026-06-09T04:24:16Z"
"55","P2","#1053","缺少 test:xpu 测试环境配置和 LD_LIBRARY_PATH","bazel/device_defs.bzl","12","在 .bazelrc 中添加 test:xpu 配置段（参考 test:rocm），至少设置 test_env LD_LIBRARY_PATH 包含 oneAPI 和 Python 库路径。同时检查 build:xpu 的 LD_LIBRARY_PATH 是否需要添加 Python lib 路径。","2026-06-09T04:24:16Z"
"56","P2","#1053","缺少 XPU 构建的测试和 CI 验证",".bazelrc","196","建议在后续 PR 中优先补充：(1) XPU 最小编译验证（如 bazel build --config=xpu 主要 target）；(2) CI 配置；(3) 至少一个基础 smoke test。","2026-06-09T04:24:16Z"
"57","P2","#1053","torch_xpu_configure dummy 回退 BUILD 与实际文件不匹配","3rdparty/gpus/torch_xpu_configure.bzl","50","在 dummy 分支中创建精简的 BUILD.bazel，只定义空 cc_library stubs（torch、torch_api、torch_libs），而非 symlink 完整 BUILD.pytorch。python_bin==None 分支也应保持一致。","2026-06-09T04:24:16Z"
"58","P2","#1053","pip_parse Python 版本不匹配 — lockfile 为 3.12 但 interpreter 路径在非 XPU 容器为 3.10","deps/pip.bzl","74","验证 pip_parse 在非 XPU 容器（Python 3.10）中是否真的能成功解析该 lockfile。如果不能，考虑使用条件加载或在注释中明确记录前提假设。","2026-06-09T04:24:16Z"
"59","P3","#1053","crosstool wrapper 静默吞掉 IOError","3rdparty/gpus/crosstool/clang/bin/crosstool_wrapper_driver_xpu.tpl","113","在 except IOError 分支中至少加一行 print('WARNING: failed to read params file: ' + params_file, file=sys.stderr) 输出日志。","2026-06-09T04:24:16Z"
"60","P3","#1053","xpu_cc_toolchain_config.bzl.tpl 导入了未使用的符号","3rdparty/gpus/crosstool/xpu_cc_toolchain_config.bzl.tpl","5","移除未使用的导入：action_config、feature_set、tool。","2026-06-09T04:24:16Z"
"61","P3","#1053","requirements_xpu.txt 独立维护，未继承 requirements_base.txt","deps/requirements_xpu.txt","1","在 requirements_xpu.txt 注释中说明版本偏差原因（如 'grpcio 1.78.0: Python 3.12 wheel 要求'）。长期考虑是否可通过排除不兼容包的方式继承 base，而非完全独立维护。","2026-06-09T04:24:16Z"
"62","P3","#1053","crosstool wrapper 中 '-x cu' 检查为 dead code","3rdparty/gpus/crosstool/clang/bin/crosstool_wrapper_driver_xpu.tpl","49","移除 'cu' 或添加注释说明保留原因（如未来 oneAPI CUDA backend 支持）。","2026-06-09T04:24:16Z"
"63","P2","#1053","_XPU_EXCLUDED_PACKAGES 漏排 fastsafetensors，XPU 通配分析会因不存在的 label 失败","arch_config/arch_select.bzl","14","在 _XPU_EXCLUDED_PACKAGES 的 ""fast-safetensors"" 旁并列加入 ""fastsafetensors""(同为 CUDA/GDS 加载器、无 XPU wheel)，并同步修改 deps/pip.bzl 中的同名排除表；核对所有 requirement([...]) 包名是否都被 XPU 排除表或 lock 覆盖。","2026-06-09T12:46:35Z"
"64","P2","#1053","xpu_link_flags 对所有链接动作(含 host 工具)无条件注入 -fsycl -lze_loader","3rdparty/gpus/crosstool/xpu_cc_toolchain_config.bzl.tpl","88","把 -fsycl/-lze_loader 从全局 link feature 收敛为按 target opt-in(同 xpu_sycl_compile)，仅对真正使用 SYCL/Level-Zero 的 device target 提供；或为 host 配置使用不含 xpu_link_flags 的独立 toolchain。","2026-06-09T12:46:35Z"
"65","P2","#1053","torch_xpu_configure 缺 TF_NEED_XPU 守卫且 hasattr(torch,'xpu') 检测对现代 PyTorch 恒为真","3rdparty/gpus/torch_xpu_configure.bzl","14","对齐 xpu_configure：os.environ.get(""TF_NEED_XPU"",""0"")!=""1"" 时尽早返回 dummy stub，使非 XPU 构建不执行 import torch/symlink；并把检测改为能区分后端的判据(如 torch.version.xpu is not None 或校验 wheel 版本含 +xpu)，同步修正误导注释。","2026-06-09T12:46:35Z"
"66","P2","#1053","build:xpu 全局 -Wno-error/--host_copt=-Wno-error，关闭整套 warnings-as-errors",".bazelrc","228","将 blanket -Wno-error 限定到第三方目录(类似 --per_file_copt)，或针对 icpx 实际告警逐条 -Wno-error=xxx，保留对自有代码的 -Werror；把 TODO(xpu) 立为有 owner 的 follow-up。","2026-06-09T12:46:35Z"
"67","P2","#1053","XPU 构建路径无任何 CI 覆盖，共享 build 文件改动无法被 XPU 编译验证",".bazelrc","196","至少接入一个 compile-only 冒烟 job(bazel build //:th_transformer --config=xpu 或最小目标)；若暂无 XPU 远端机，先跑 TF_NEED_XPU 未置位的 analysis-only/bazel query job 保证 select/config_setting 语法不被破坏。修复落点在 .aoneci/internal_source/ci(本 diff 之外)，建议作为 follow-up。","2026-06-09T12:46:35Z"
"68","P3","#1053","crosstool wrapper 把 compile-only 的 -include/-isystem/-D_GNU_SOURCE 强制注入到链接命令行","3rdparty/gpus/crosstool/clang/bin/crosstool_wrapper_driver_xpu.tpl","153","按 -c/源文件存在(或恢复 -pass-exit-codes 之类链接识别信号)区分编译与链接动作，仅在确为 compile 时追加 force-include 与 -isystem，链接动作不注入 C 头。","2026-06-09T12:46:35Z"
"69","P3","#1053","生成的 using_sycl config_setting 与 xpu/site_packages.bzl 无任何消费方（死代码）","3rdparty/gpus/xpu_configure.bzl","341","删除冗余的 using_sycl(统一用 //:using_xpu)与 xpu_configure.bzl 中 site_packages.bzl 的生成块；若计划后续使用，加注释说明用途与引用方并接入实际消费者。","2026-06-09T12:46:35Z"
"70","P3","#1053","SYCL_TARGET 在 .bazelrc 固定为 intel_gpu_pvc，偏离 spir64 默认且当前无消费方",".bazelrc","205","在尚无 SYCL kernel target 前去掉 .bazelrc 的 SYCL_TARGET 固定、回落 spir64 JIT(跨 Intel GPU 可移植)；或加注释说明 .bazelrc 会覆盖 bzl 默认且生产目标为 PVC 及其它 GPU 覆盖方式。","2026-06-09T12:46:35Z"
"71","P1","#1053","XPU pip repo 在非 XPU 构建中会被不兼容解释器解析","deps/pip.bzl","75","将 XPU pip repo 做成仅在 TF_NEED_XPU=1 时解析；非 XPU 环境生成 dummy repo，或确保无条件解析路径使用兼容 Python 3.12 解释器。","2026-06-09T16:57:33Z"
"72","P1","#1053","XPU repo 规则拿不到固定的 Python 解释器",".bazelrc","202","在 build:xpu 中显式设置 --repo_env=PYTHON_BIN_PATH=...，并让 xpu_configure 与 torch_xpu_configure 使用同一个解释器来源。","2026-06-09T16:57:33Z"
"73","P1","#1053","C++ 参数文件会导致 XPU wrapper 选错编译器","3rdparty/gpus/crosstool/clang/bin/crosstool_wrapper_driver_xpu.tpl","137","在改写 params 前解析原始参数和 params 内容来判断 C++，或让 C++/link action 默认使用 ICPX，仅纯 C/汇编走 ICX。","2026-06-09T16:57:33Z"
"74","P3","#1053","新增模板存在空白格式问题","3rdparty/gpus/crosstool/xpu_cc_toolchain_config.bzl.tpl","296","删除尾随空格和文件末尾多余空行。","2026-06-09T16:57:33Z"
"75","P1","#1053","XPU requirements 未覆盖现有 Bazel 依赖","arch_config/arch_select.bzl","47","补齐 XPU lockfile 中仍会被引用的包，或把不可用包全部加入 `_XPU_EXCLUDED_PACKAGES`/remap，并补最小 XPU analysis 验证。","2026-06-10T07:33:50Z"
"76","P1","#1053","XPU 链接阶段会误用 C 编译器","3rdparty/gpus/crosstool/clang/bin/crosstool_wrapper_driver_xpu.tpl","164","对 C++ link action 固定使用 `icpx`，或在 toolchain action_config 中为 C++ link 显式配置 `icpx` 和 C++ runtime/linker flags。","2026-06-10T07:33:50Z"
"77","P2","#1053","XPU 模式缺少 PyTorch XPU fail-fast","3rdparty/gpus/torch_xpu_configure.bzl","33","把 `TF_NEED_XPU` 加入 repository rule `environ`；仅非 XPU 构建生成 stub，XPU 构建缺少 PyTorch XPU 或关键 lib 时直接 `fail()`。","2026-06-10T07:33:50Z"
"78","P2","#1053","新增 XPU 平台缺少最小构建验证",".bazelrc","196","补一个代表性的 XPU build/test gate，至少覆盖 `//:rtp_compute_ops` 或 wheel 的分析/构建路径。","2026-06-10T07:33:50Z"
"79","P1","#1053","XPU 运行库 BUILD 模板使用了错误的包内相对路径","3rdparty/gpus/xpu/BUILD.tpl","13","将模板改为包内相对路径 include/**、include、include/sycl、lib/libsycl.so、lib/libze_loader.so，或同步调整 symlink 输出目录。","2026-06-10T12:42:21Z"
"80","P1","#1053","XPU 依赖映射遗漏 av 会导致构建解析失败","arch_config/arch_select.bzl","14","将 av 加入 XPU 排除列表并避免 XPU arch_dep 引用它，或在 requirements_xpu/lock 中加入可用的 av wheel。","2026-06-10T12:42:21Z"
"81","P1","#1053","XPU wheel 元数据仍会声明 CUDA-only 依赖","arch_config/arch_select.bzl","95","为 XPU wheel 拆出单独 requirements selector，或在 whl_reqs 中按 using_xpu 过滤 _XPU_EXCLUDED_PACKAGES。","2026-06-10T12:42:21Z"
"82","P1","#1053","XPU Python 运行时与 C++ 链接的 Python 库不一致","BUILD.pytorch","67","让 XPU 分支的 Python headers/lib 与 @local_config_xpu 解析出的 Python 一致，或扩展 local_config_python 生成匹配 Python 3.12 的库和头文件。","2026-06-10T12:42:21Z"
"83","P2","#1053","缺少 XPU 配置的构建验证入口",".bazelrc","196","增加最小 XPU 构建验证入口，覆盖 @local_config_xpu//xpu:*、rtp_llm package analysis、核心 so 或 wheel target。","2026-06-10T12:42:21Z"
